input,output
Is bromohexafluoropropane included in the group of halogenated hydrocarbons according to its HS code?,"Yes, bromohexafluoropropane is a halogenated hydrocarbon"
What type of compounds does the HS code 2903792039 represent in Moroccan customs tariff classification?,Bromohexafluoropropane falls under the category of Acyclic compounds and Saturated chlorinated hydrocarbons
"What is the specific HS code for 1,2,3,4,5,6-Hexachlorocyclohexane (HCH), including Lindane (ISO, DCI)?",2903810000
Which chapter in the customs tariff classification does the HS code 2903810000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903810000 in customs tariff classification?,"Halogenated hydrocarbons, Chlorinated saturated hydrocarbons of cyclic"
"What is the first level of classification for 1,2,3,4,5,6-Hexachlorocyclohexane (HCH), including Lindane (ISO, DCI) in customs tariff?",29 - Chapter 29: Organic Chemicals
What specific pesticides does the HS code HS:2903820000 correspond to in Moroccan customs tariff nomenclature?,"Aldrine (ISO), Chlordane (ISO), and Heptachlore (ISO)"
In which chapter does the HS code HS:2903820000 fall under in Moroccan customs tariff?,Chapter 29: Organic Chemicals
What is the category of chemicals represented by the HS code HS:2903820000 in Moroccan customs tariff nomenclature?,"Halogenated hydrocarbons, Chlorinated saturated hydrocarbons of acyclic"
"Is the HS code HS:2903820000 included in the category of Halogenated hydrocarbons, Chlorinated saturated hydrocarbons of acyclic according to Moroccan customs tariff nomenclature?",May or may not be included
What is the specific HS code for Mirex (ISO) in Moroccan customs tariff?,HS:2903830000
Which chapter in the Moroccan customs tariff does the HS code 2903830000 belong to?,Chapter 29: Organic chemicals
What type of halogenated hydrocarbon derivatives does the HS code 2903830000 represent in Moroccan customs tariff?,Chlorinated saturated hydrocarbon derivatives of acyclic hydrocarbons
Is Mirex (ISO) included in the HS code 2903830000 in Moroccan customs tariff?,"Yes, Mirex (ISO) corresponds to HS code 2903830000"
What is the specific HS code for chlorobenzene in Moroccan Customs Tariff?,HS:2903911000
In which category of organic chemicals does the HS code 2903911000 for chlorobenzene fall under?,"Halogenated hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic hydrocarbons"
Which chapter in the Moroccan Customs Tariff does the HS code 2903911000 for chlorobenzene belong to?,Chapter 29: Organic Chemicals
What is the full description of HS code 2903911000 for chlorobenzene in Moroccan Customs Tariff?,"Chlorobenzene - Halogenated hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic hydrocarbons"
What is the specific HS code for o-dichlorobenzene?,2903912000
Does the HS code 2903912000 fall under the category of Halogenated derivatives of hydrocarbons in Moroccan Customs Tariff?,Yes
Is o-dichlorobenzene included in the category of Chlorinated saturated derivatives of acyclic hydrocarbons?,No
In which chapter of the Moroccan Customs Tariff is o-dichlorobenzene classified?,Chapter 29: Organic Chemicals
What is the specific HS code for p-dichlorobenzene in the Moroccan customs tariff?,2903913000
Which chapter in the Moroccan customs tariff does the HS code 2903913000 belong to?,Chapter 29: Organic Chemicals
"Is p-dichlorobenzene a halogenated hydrocarbon, chlorinated saturated hydrocarbon or acyclic hydrocarbon according to HS code 2903913000 in the Moroccan customs tariff?",p-dichlorobenzene is a halogenated hydrocarbon and chlorinated saturated hydrocarbon
What is the first level of classification for p-dichlorobenzene in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for dichlorodiphenyltrichloroethane (DDT)?,2903921000
Which chapter in the Moroccan customs tariff classification does the HS code 2903921000 belong to?,Chapter 29: Organic chemicals
What type of chemical is represented by the HS code 2903921000 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for dichlorodiphenyltrichloroethane (DDT) in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Pentachlorobenzene (ISO)?,HS:2903930000
In which chapter of the Moroccan Customs is the HS code HS:2903930000 classified?,Chapter 29: Organic Chemicals
Is Pentachlorobenzene (ISO) a halogenated hydrocarbon according to the HS code HS:2903930000?,"Yes, it is included in the category of Halogenated hydrocarbons"
What subcategory of chlorinated saturated acyclic hydrocarbon derivatives does Pentachlorobenzene (ISO) belong to according to HS code HS:2903930000?,Pentachlorobenzene
What is the specific HS code for Hexabromobiphenyls?,HS:2903940000
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903940000 classified?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903940000 represent?,"Halogenated derivatives of hydrocarbons, specifically Hexabromobiphenyls"
What is the first level of classification for Hexabromobiphenyls in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for dichloronaphtalène and octochloronaphtalène in Moroccan customs tariff?,2903991000
Which chapter in the Moroccan customs tariff classification does the HS code 2903991000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903991000 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Chlorinated saturated acyclic hydrocarbon derivatives"
What is the first level of classification for dichloronaphtalène and octochloronaphtalène in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for aromatics which may or may not be part of the category of sulfonated, nitrated, or nitrosated hydrocarbons, including halogenated ones in Moroccan Customs Tariff?",HS:2904100010
In which chapter of the Moroccan Customs Tariff is the HS code 2904100010 located?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2904100010 represent in Moroccan Customs Tariff?,"Aromatics which may or may not be part of the category of sulfonated, nitrated, or nitrosated hydrocarbons, including halogenated ones"
"What is the first level of classification for aromatics which may or may not be part of the category of sulfonated, nitrated, or nitrosated hydrocarbons, including halogenated ones in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for trinitrotoluene in the Moroccan Customs Tariff?,HS:2904201010
Which chapter in the Moroccan Customs Tariff does the HS code 2904201010 belong to?,Chapter 29: Organic Chemicals
What type of chemicals might be represented by the HS code 2904201010 in Moroccan Customs Tariff?,"Trinitrotoluene, which may or may not be a part of halogenated, nitrated, or nitrosated sulfonated hydrocarbons"
What is the first level of classification for trinitrotoluene in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for mononitrotoluenes in the Moroccan customs tariff system?,HS:2904201090
In which chapter of the Moroccan customs tariff system is the HS code 2904201090 classified?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2904201090 in the Moroccan customs tariff system?,Mononitrotoluenes
What is the first level of classification for mononitrotoluenes in the Moroccan customs tariff system?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Perfluorooctanesulfonic acid?,HS:2904310000
Which chapter in the customs tariff classification does the HS code HS:2904310000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2904310000 in customs tariff classification?,Perfluorooctanesulfonic acid
What is the first level of classification for Perfluorooctanesulfonic acid in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Perfluorooctanesulfonic acid ammonium salt?,2904320000
In which chapter is Perfluorooctanesulfonic acid ammonium salt classified in Moroccan customs?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2904320000 in Moroccan customs?,Perfluorooctanesulfonic acid ammonium salt
What is the first level of classification for Perfluorooctanesulfonic acid ammonium salt in Moroccan customs?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Lithium sulfonate of perfluorooctane?,2904330000
Under which chapter in the customs tariff classification does the HS code 2904330000 fall?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2904330000 in customs tariff classification?,Lithium sulfonate of perfluorooctane
What is the first level of classification for Lithium sulfonate of perfluorooctane in customs tariff?,29 - Chapter 29: Organic Chemicals
"Is Potassium perfluorooctanesulfonate included in the category of 'Derivatives of sulfonated, nitrated or nitrosated hydrocarbons, including halogenated ones'?",Yes
In which chapter is Potassium perfluorooctanesulfonate classified in Morocco's customs tariff?,Chapter 29: Organic Chemicals
What is the specific HS code for Potassium perfluorooctanesulfonate in Morocco's customs tariff?,HS:2904340000
What is the first level of classification for Potassium perfluorooctanesulfonate in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Other salts of perfluorooctane sulfonic acid?,HS:2904350000
In which chapter of the Moroccan Customs Tariff is the HS code HS:2904350000 located?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2904350000 represent in customs tariff classification?,Other salts of perfluorooctane sulfonic acid
What is the first level of classification for Other salts of perfluorooctane sulfonic acid in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Perfluorooctanesulfonic acid fluoride according to Morocco's customs?,2904360000
Which chapter in the Moroccan customs tariff classification does the HS code 2904360000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals is represented by the HS code 2904360000 in Moroccan customs tariff classification?,Perfluorooctanesulfonic acid fluoride
What is the first level of classification for Perfluorooctanesulfonic acid fluoride in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
Does the HS code HS:2904910000 correspond to a derivative of hydrocarbons or a nitro or nitroso derivative in the Moroccan Customs Tariff System?,"Yes, HS:2904910000 corresponds to a nitro derivative of hydrocarbons."
Which chapter does the HS code HS:2904910000 belong to in the Moroccan Customs Tariff System?,Chapter 29: Organic Chemicals.
What is the specific HS code for Trichloronitromethane (also known as chloropicrin) in the Moroccan Customs Tariff System?,HS:2904910000
"Is the HS code HS:2904910000 classified under 'Derivatives of sulphur, nitro or nitroso derivatives of hydrocarbons, including halogenated hydrocarbons' in the Moroccan Customs Tariff System?","Yes, HS:2904910000 is classified under 'Derivatives of sulphur, nitro or nitroso derivatives of hydrocarbons, including halogenated hydrocarbons'."
What is the specific HS code for other sulfonated derivatives?,HS:2904990010
Which chapter in the customs tariff classification does the HS code HS:2904990010 belong to?,Chapter 29: Organic Chemicals
